Maquina,Code_pf,Producto,base,Tipo,pots_uc,pots,lots,UC_Palet,Vasos_Palet,Code_Article,Description,Family,Cliente
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90069381,PK2X125 ES LLCH DPV GALET MAR,EA,LECHERAS
B,10397,LL Galleta maria 2x125g,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
